Recency,Frequency,Monetary,F_rank,R_rank,M_rank,RFM_Score,Segment
2921.0,1,18.25,3,5,1,531,Low Value
2660.0,1,133.49,3,3,4,334,Potential Loyalists
3008.0,1,58.62,3,5,2,532,Other
2590.0,1,135.72,3,2,4,234,Other
2832.0,1,94.3,3,5,3,533,Other
2807.0,1,222.24,3,4,5,435,Big Spenders
2559.0,1,181.82,3,2,4,234,Other
2602.0,1,159.03,3,3,4,334,Potential Loyalists
3006.0,1,169.01,3,5,4,534,Other
2621.0,1,67.3,3,3,2,332,Potential Loyalists
2488.0,1,45.19,3,1,1,131,New Customers
2583.0,1,74.22,3,2,2,232,Other
2737.0,1,19.33,3,4,1,431,Low Value
2733.0,1,422.16,3,4,5,435,Big Spenders
2594.0,1,76.86,3,2,2,232,Other
2708.0,1,130.57,3,4,4,434,Potential Loyalists
2579.0,1,179.04,3,2,4,234,Other
2548.0,1,436.14,3,2,5,235,Big Spenders
2512.0,1,151.89,3,1,4,134,New Customers
2978.0,1,74.41,3,5,2,532,Other
2912.0,1,86.73,3,5,3,533,Other
2912.0,1,102.02,3,5,3,533,Other
2946.0,1,133.49,3,5,4,534,Other
2685.0,1,116.36,3,3,3,333,Potential Loyalists
2925.0,1,74.94,3,5,2,532,Other
2554.0,1,40.13,3,2,1,231,Low Value
2915.0,1,95.76,3,5,3,533,Other
2488.0,1,53.34,3,1,1,131,New Customers
2691.0,1,96.8,3,4,3,433,Potential Loyalists
2994.0,1,80.14,3,5,2,532,Other
2495.0,1,34.23,3,1,1,131,New Customers
2636.0,1,147.15,3,3,4,334,Potential Loyalists
2644.0,1,201.08,3,3,4,334,Potential Loyalists
2723.0,1,173.82,3,4,4,434,Potential Loyalists
2901.0,1,52.38,3,5,1,531,Low Value
2526.0,1,104.08,3,2,3,233,Other
2851.0,1,41.59,3,5,1,531,Low Value
2905.0,1,31.82,3,5,1,531,Low Value
2527.0,1,149.45,3,2,4,234,Other
2588.0,1,22.38,3,2,1,231,Low Value
2739.0,1,294.7,3,4,5,435,Big Spenders
2985.0,1,116.24,3,5,3,533,Other
2853.0,1,462.87,3,5,5,535,Big Spenders
0.0,1,133.63,3,1,4,134,New Customers
2546.0,1,35.19,3,2,1,231,Low Value
2796.0,1,130.01,3,4,4,434,Potential Loyalists
2462.0,1,289.9,3,1,5,135,New Customers
3017.0,1,57.51,3,5,2,532,Other
2568.0,1,201.84,3,2,4,234,Other
2921.0,1,60.86,3,5,2,532,Other
2791.0,1,69.14,3,4,2,432,Potential Loyalists
2583.0,1,188.97,3,2,4,234,Other
2733.0,1,71.22,3,4,2,432,Potential Loyalists
2705.0,1,73.34,3,4,2,432,Potential Loyalists
2569.0,1,98.7,3,2,3,233,Other
2889.0,1,60.01,3,5,2,532,Other
2524.0,1,247.68,3,2,5,235,Big Spenders
2782.0,1,28.09,3,4,1,431,Low Value
0.0,1,204.24,3,1,5,135,New Customers
0.0,1,279.52,3,1,5,135,New Customers
2547.0,1,109.59,3,2,3,233,Other
2912.0,1,52.68,3,5,1,531,Low Value
2961.0,1,355.95,3,5,5,535,Big Spenders
2503.0,1,99.11,3,1,3,133,New Customers
2551.0,1,106.9,3,2,3,233,Other
2628.0,1,145.11,3,3,4,334,Potential Loyalists
2856.0,1,75.07,3,5,2,532,Other
2713.0,1,185.94,3,4,4,434,Potential Loyalists
2785.0,1,69.24,3,4,2,432,Potential Loyalists
2610.0,1,86.02,3,3,3,333,Potential Loyalists
2597.0,1,160.76,3,3,4,334,Potential Loyalists
0.0,1,157.51,3,1,4,134,New Customers
2754.0,1,81.63,3,4,2,432,Potential Loyalists
2616.0,1,48.08,3,3,1,331,Low Value
2475.0,1,219.44,3,1,5,135,New Customers
2660.0,1,45.48,3,3,1,331,Low Value
2541.0,1,43.23,3,2,1,231,Low Value
2698.0,1,40.09,3,4,1,431,Low Value
2909.0,1,115.94,3,5,3,533,Other
2449.0,1,83.45,3,1,2,132,New Customers
2660.0,1,667.56,3,3,5,335,Big Spenders
2966.0,1,39.42,3,5,1,531,Low Value
2548.0,1,1391.13,3,2,5,235,Big Spenders
2442.0,1,67.36,3,1,2,132,New Customers
2891.0,1,142.97,3,5,4,534,Other
2548.0,1,65.42,3,2,2,232,Other
2665.0,1,119.25,3,3,3,333,Potential Loyalists
2693.0,1,27.78,3,4,1,431,Low Value
2471.0,1,32.43,3,1,1,131,New Customers
2512.0,1,98.34,3,1,3,133,New Customers
2748.0,1,178.47,3,4,4,434,Potential Loyalists
2825.0,1,291.12,3,5,5,535,Big Spenders
2566.0,1,134.8,3,2,4,234,Other
2575.0,1,99.95,3,2,3,233,Other
2953.0,1,100.91,3,5,3,533,Other
2488.0,1,49.45,3,1,1,131,New Customers
2722.0,1,197.1,3,4,4,434,Potential Loyalists
2546.0,1,167.97,3,2,4,234,Other
2611.0,1,154.55,3,3,4,334,Potential Loyalists
2616.0,1,126.33,3,3,3,333,Potential Loyalists
2459.0,1,170.44,3,1,4,134,New Customers
2793.0,1,45.03,3,4,1,431,Low Value
2443.0,1,176.88,3,1,4,134,New Customers
2795.0,1,85.73,3,4,3,433,Potential Loyalists
2691.0,1,99.43,3,4,3,433,Potential Loyalists
2909.0,1,411.94,3,5,5,535,Big Spenders
2751.0,1,61.5,3,4,2,432,Potential Loyalists
2538.0,1,92.39,3,2,3,233,Other
2449.0,1,142.82,3,1,4,134,New Customers
2635.0,1,93.3,3,3,3,333,Potential Loyalists
2618.0,1,57.68,3,3,2,332,Potential Loyalists
2461.0,1,84.34,3,1,2,132,New Customers
2720.0,1,71.04,3,4,2,432,Potential Loyalists
2842.0,1,102.03,3,5,3,533,Other
2884.0,1,185.55,3,5,4,534,Other
2877.0,1,63.1,3,5,2,532,Other
2544.0,1,82.33,3,2,2,232,Other
2643.0,1,40.05,3,3,1,331,Low Value
2446.0,1,60.42,3,1,2,132,New Customers
2901.0,1,62.28,3,5,2,532,Other
2614.0,1,28.09,3,3,1,331,Low Value
0.0,1,68.22,3,1,2,132,New Customers
2729.0,1,103.55,3,4,3,433,Potential Loyalists
2555.0,1,87.02,3,2,3,233,Other
2777.0,1,188.72,3,4,4,434,Potential Loyalists
2715.0,1,322.94,3,4,5,435,Big Spenders
2597.0,1,48.22,3,3,1,331,Low Value
2750.0,1,56.78,3,4,2,432,Potential Loyalists
2706.0,1,267.99,3,4,5,435,Big Spenders
2667.0,1,29.09,3,3,1,331,Low Value
2589.0,1,96.08,3,2,3,233,Other
2446.0,1,80.45,3,1,2,132,New Customers
2867.0,1,180.6,3,5,4,534,Other
2667.0,1,127.92,3,3,3,333,Potential Loyalists
2777.0,1,35.0,3,4,1,431,Low Value
2603.0,1,109.92,3,3,3,333,Potential Loyalists
2589.0,1,99.43,3,2,3,233,Other
2571.0,1,267.5,3,2,5,235,Big Spenders
2761.0,1,107.53,3,4,3,433,Potential Loyalists
