False,True
3,0
1,0
1,0
4,1
7,0
7,1
2,0
1,0
0,1
59,1
14,0
1,0
3,0
1,0
11,3
1,0
50,1
1,0
7,0
3,0
1,0
8,0
0,1
15,0
1,0
2,0
2,0
16,1
20,0
4,1
66,9
6,2
4,0
72,11
2,0
3,0
1,0
2,0
1,0
47,3
1,0
44,1
0,1
17,0
1,0
1,0
1,0
3,0
1,0
5,1
181,9
2,0
6,1
11,1
2,0
9,0
1,0
1,0
60,5
50,5
1,0
5,0
13,0
3,0
295,11
3,0
79,4
1,0
2,0
40,4
20,4
11,1
1,0
2,0
7,0
1,0
28,8
2,0
2,0
2,0
3,0
2,0
3,0
2,0
3,0
2,0
1,0
2,0
32,1
1,0
2,1
197,42
4,1
2,0
0,1
53,1
2,0
12,0
5,0
1,0
7,2
4,0
177,70
2,0
0,1
3,0
19,2
1,0
1,0
1,0
1,0
1,0
6,1
2,1
1,0
2,0
28,0
1,0
2,0
107,4
1,2
1,0
2,0
25,0
68,7
1,0
1,0
3,0
7,0
1,0
6,0
5,1
2,0
8,0
1,0
1,0
1,0
135,5
5,0
16,2
1,1
3,0
1,0
3,0
10,3
9,0
61,4
16,0
3,1
1,0
2,1
1,0
10,1
4,0
1,0
9,0
2,0
1,1
19,3
3,1
8,0
12,1
2,0
25,10
5,0
3,2
2,0
2,1
1,0
16,0
21,1
11,1
4,0
0,1
2,1
1,0
28,3
1,0
5,0
3,0
3,0
16,0
31,2
1,0
2,0
1,0
118,21
1,0
1,0
8,0
1,0
1,0
190,6
2,0
256,15
2,0
4,0
1,0
3,0
3,1
13,2
6,1
1,0
1,0
2,0
8,0
2,0
5,1
2,0
2,0
3,0
1,0
11,1
2,0
1,1
6,0
52,0
2,0
2,0
8,1
13,0
1,0
26,1
4,0
2,0
1,0
3,0
1,0
1,1
12,0
2,0
1,0
7,0
2,0
294,29
2,0
4,0
1,0
3,0
2,0
7,0
22,1
0,1
6,0
3,0
12,0
5,0
4,1
1,1
3,1
1,0
2,0
69,7
1,0
2,3
24,4
14,0
4,0
2,0
1,0
9,1
11,0
1,0
4,0
1,0
26,0
3,0
1,0
1,0
5,0
18,1
1,0
1,0
9,0
2,0
4,0
1,0
3,0
12,1
1,1
1,0
3,0
27,2
13,1
1,0
3,0
6,1
1,0
1,0
1,0
34,0
1,0
1,0
369,14
75,1
87,6
2,0
3,1
1,1
1,0
2,1
1,0
2,0
2,0
40,2
2,0
1,0
3,0
0,1
3,0
9,1
1,0
2,0
2,0
4,0
1,0
6,0
33,1
1,0
10,0
5,0
18,1
4,1
1,0
1,0
3,0
24,0
2,0
2,0
1,1
36,4
1,0
8,1
16,4
1,2
1,0
0,1
30,2
204,7
2,0
1,0
10,0
3,0
2,0
3,0
5,0
2,0
4,0
17,1
10,0
1,0
7,0
1,0
1,0
7,0
1,0
1,0
1,0
1,0
3,0
1,0
6,1
1,0
33,4
11,0
3,0
7,0
1,0
1,0
7,0
1,0
1,0
6,0
4,0
4,0
2,0
2,0
4,0
62,2
1,0
1,0
1,0
2,0
0,1
4,0
8,0
1,0
1,0
8,1
1,0
1,0
22,3
6,1
2,0
185,22
1,0
14,2
1,0
29,2
7,1
4,0
1,0
7,0
2,0
2,0
1,0
9,0
7,0
3,0
8,0
93,14
1,1
14,0
746,103
1,0
2,0
1,0
2,0
1,0
2,0
2,0
1,0
2,0
2,0
10,4
3,0
2,1
1,0
1,0
10,1
1,0
4,0
4,0
4,0
1,0
2,0
1,0
2,0
1,1
3,0
2,0
3,0
1,0
3,0
15,0
1,2
8,0
1,0
1,0
2,0
8,0
5,0
1,0
122,30
18,1
1,0
1,0
3,0
385,57
1,0
1,0
2,0
1,0
1,0
89,9
9,0
0,1
2,0
3,0
5,0
36,2
2,0
4,0
4,0
1,0
2,0
7,1
8,1
16,0
5,1
0,1
1,0
1,0
1,0
6,1
1,0
6,0
4,0
47,4
3,0
1,0
6,0
1,0
18,1
5,2
1,0
10,0
1,0
1,0
2,0
0,1
1,0
9,0
14,2
114,9
17,1
1,0
0,1
1,0
1,0
1,0
3,0
1,0
2,0
1,0
5,0
2,0
3,0
6,2
3,0
1,1
5,0
6,0
2,0
0,1
1,0
1,0
2,0
2,1
1,0
36,2
79,14
3,0
20,2
1,1
1,0
3,0
5,0
1,0
5,1
29,0
8,0
1,0
2,1
2,0
8,0
711,35
3,0
35,0
16,0
1,0
4,1
0,1
7,1
5,0
76,4
1,0
1,0
37,4
15,1
53,4
4,0
3,0
1,0
2,0
1,0
10,1
1,0
6,0
5,1
4,2
5,0
5,2
2,0
0,1
1,0
3,1
1,0
1,0
1,0
1,0
10,0
1,0
3,0
2,0
10,0
1,0
83,12
4,0
4,0
9,0
5,0
1,0
95,15
14,2
1,0
5,0
16,0
7,1
2,0
2,1
2,0
1,0
18,1
1,0
5,0
4,1
1,0
9,1
16,1
1,0
2,0
5,0
3,0
4,0
8,0
9,1
35,2
31,4
59,4
4,1
17,2
13,0
20,0
3,0
15,3
3,0
9,1
4,1
6,0
1,0
3,0
1,0
10,0
15,0
0,1
4,0
4,1
0,2
3,0
55,5
15,0
3,0
4,0
10,1
1,0
2,0
2,0
44,3
1,0
8,1
8,0
12,1
15,4
23,4
4,0
1,0
1,0
4,0
2,0
1,0
13,2
1,0
23,0
59,4
1,0
12,0
10,0
1,0
1,1
1,0
1,0
0,1
1,0
5,2
108,5
43,0
2,0
2,0
1,0
2,0
52,1
16,0
94,6
45,2
1,1
2,0
3,0
11,2
1,0
2,0
7,2
2,0
1,0
1,0
3,0
119,11
1,0
36,6
3,0
1,0
37,3
5,0
5,0
2,0
2,0
1,0
4,1
5,0
21,0
2,1
4,1
3,0
2,1
1,0
0,1
1,0
4,1
3,0
1,0
1,0
1,0
1,1
2,0
34,2
3,0
4,0
3,0
3,0
4,1
9,0
1,0
2,0
39,1
3,0
1,0
1,0
4,0
4,0
174,12
2,0
37,0
2,0
8,1
16,1
2,0
1,0
1,0
7,0
7,1
9,0
19,0
1,0
3,0
1,0
2,0
2,0
1,0
2,0
2,0
1,0
2,0
42,2
0,1
8,1
15,0
62,3
210,30
2,0
1,0
1,0
1,0
1,0
1,1
2,0
1,0
1,0
0,1
17,2
1,1
19,4
7,0
2,1
3,0
3,1
4,0
3,1
11,1
2,0
8,0
2,0
2,0
96,5
2,1
2,0
3,0
2,0
2,0
1,0
1,0
67,2
1,0
7,0
19,2
7,2
13,1
3,1
5,0
9,0
1,0
2,0
1,0
0,1
1,0
1,0
9,0
21,1
9,1
1,0
360,9
2,0
13,3
1,0
7,0
19,0
1,0
12,0
1,0
3,1
8,0
8,1
4,0
1,0
8,0
1,0
41,1
15,1
14,0
13,1
63,6
1,0
9,0
5,1
3,0
4,0
11,1
1,0
1,1
7,0
6,0
1,0
3,0
1,0
17,1
21,1
1,0
1,0
15,2
3,0
26,2
0,2
9,1
2,0
1,0
1,0
9,0
2,0
83,2
1,0
1,0
3,0
0,1
8,0
1,0
3,1
2,0
1,0
112,10
2,1
13,0
0,1
3,0
6,0
0,1
9,0
17,0
10,1
4,0
135,8
16,2
13,0
8,0
2,0
1,1
1,0
1,0
40,1
3,0
9,0
1,0
1,0
1,0
2,0
1,0
1,0
2,0
13,0
8,0
10,0
2,0
10,0
1,0
4,1
0,1
2,0
1,0
1221,158
1,0
2,0
9,0
2,0
1,0
1,0
1,1
1,0
22,0
25,3
2,0
1,1
1,0
1,0
1,0
8,0
3,4
1,0
31,10
2,0
14,0
108,5
5,0
15,2
4,0
3,0
2,0
2,0
7,0
9,0
119,12
3,0
1,0
3,0
2,0
5,0
10,0
3,0
288,28
1,0
1,0
11,0
1,0
2,0
6,0
1,0
11,4
22,1
5,2
1,0
1,0
2,0
2,0
1,0
3,0
1,0
6,0
150,11
3,1
22,4
8,1
28,0
7,0
1,0
1,0
30,2
4,0
2,0
1,0
4,0
7,0
0,1
1,0
1,0
2,0
1,0
3,0
4,0
13,0
5,0
5,0
1,0
17,1
5,0
1,0
8,0
9,0
52,2
1,0
0,1
2,0
10,0
1,0
2,0
1,1
4,0
1,0
3,0
3,1
1,0
12,2
13,0
2,0
3,0
12,1
2,0
5,1
2,1
4,1
0,1
20,2
2,0
1,0
2,0
0,3
11,0
11,1
1,0
6,0
6,0
0,2
534,79
3,0
14,4
1,0
1,0
3,0
6,0
10,0
3,0
49,1
4,1
1,0
4,0
2,1
95,22
2,1
3,0
2,0
1,0
10,0
1,0
3,0
1,0
2,0
4,1
2,0
1,0
2,0
3,1
1,0
3,0
1,0
3,1
1,0
3,0
1,0
7,1
4,0
6,1
1,1
1,0
5,0
96,5
5,0
3,0
104,5
491,19
2,0
2,0
0,1
1,0
2,0
1,0
3,0
8,0
4,1
3,1
26,2
4,0
71,3
6,0
10,1
5,0
151,6
2,0
4,2
110,27
10,1
3,0
6102,780
2,0
4,0
3,0
3,1
30,5
1,0
1,0
1,0
1,0
2,0
3,0
110,15
25,1
1,0
5,1
5,0
3,0
12,1
14,2
4,0
6,0
9,0
6,0
5,0
4,0
5,1
4,0
3,0
1,0
1,1
64,3
3,0
3,0
3,0
1,0
2,0
7,0
2,0
3,0
3,0
1,1
27,0
9,1
7,0
2,0
1,0
2,0
5,1
2,0
9,0
61,4
5,0
4,0
1,0
1,0
11,3
5,0
1,0
2,0
7,0
2,1
0,1
8,1
7,0
41,1
1,0
3,0
6,0
1,0
1,0
13,0
5,0
6,0
9,1
2,1
16,1
20,2
1,0
2,0
3,0
1,0
5,0
91,4
2,0
11,2
4,0
1,0
4,0
3,1
1,0
4,0
1037,208
1,0
1,0
5,1
4,0
1,0
1,0
2,1
3,0
14,1
7,0
1,0
23,3
5,0
114,5
1,0
1,1
8,1
1,0
7,0
1,0
1,0
2,0
5,1
4,1
3,1
9,0
1,1
5,0
4,0
1,1
13,0
1,0
1,1
34,1
58,4
1,0
2,0
4,1
4,0
1,0
33,2
1,0
11,1
11,1
9,0
2,0
10,5
30,0
3,0
6,0
1,0
2,0
8,1
1,0
4,0
94,6
1,0
1,0
3,0
181,16
2,0
2,0
11,2
3,1
14,1
1,0
2,0
1,0
2,0
6,1
4,0
2,0
2,0
5,0
0,1
8,0
3,0
1,0
6,0
1,0
3,0
7,0
2,0
1,0
18,0
28,7
32,1
3,0
14,0
0,1
1,0
6,4
2,0
3,0
1,1
3,0
16,1
12,0
2,1
12,1
2,0
3,1
175,10
1,0
4,0
3,0
1,0
3,0
1,0
1,0
1,0
3,1
20,0
3,0
3,0
15,1
2,0
1,0
2,0
